FLIGHT_NUMBER,UNIQUE_CARRIER,ORIGIN,DEST,CRS_DEP_TIME,CRS_ARR_TIME,CRS_ELAPSED_TIME,Capacity,Flying Time
,AS,LAX,PDX,360,504,144,144,144
,AS,SEA,ANC,360,527,227,72,227
,AS,LAX,SEA,360,530,170,72,170
,AS,ANC,SEA,360,630,210,180,210
,AS,SEA,LAX,380,530,150,144,150
,AS,PDX,LAX,405,550,145,124,145
,AS,PDX,SEA,420,474,54,160,54
,AS,SEA,LAX,420,585,165,160,165
,AS,ANC,SEA,420,685,205,144,205
,AS,LAX,SEA,450,618,168,124,168
,AS,SEA,LAX,460,620,160,72,160
,AS,LAX,PDX,480,624,144,144,144
,AS,SEA,ANC,480,655,235,144,235
,AS,SEA,LAX,565,720,155,124,155
,AS,PDX,ANC,575,750,235,124,235
,AS,PDX,LAX,585,725,140,124,140
,AS,ANC,SEA,600,860,200,124,200
,AS,LAX,SEA,610,775,165,124,165
,AS,SEA,ANC,635,810,235,124,235
,AS,ANC,SEA,660,925,205,124,205
,AS,PDX,LAX,670,808,138,144,138
,AS,LAX,SEA,700,869,169,144,169
,AS,ANC,PDX,720,990,210,144,210
,AS,LAX,PDX,780,925,145,144,145
,AS,PDX,LAX,800,933,133,144,133
,AS,SEA,LAX,800,956,156,72,156
,AS,LAX,SEA,805,961,156,72,156
,AS,ANC,SEA,810,1075,205,72,205
,AS,SEA,ANC,825,988,223,72,223
,AS,LAX,SEA,865,1025,160,72,160
,AS,SEA,LAX,955,1105,150,72,150
,AS,SEA,ANC,955,1120,225,72,225
,AS,LAX,SEA,960,1120,160,72,160
,AS,ANC,SEA,1005,1274,209,72,209
,AS,LAX,PDX,1010,1150,140,72,140
,AS,LAX,SEA,1030,1200,170,72,170
,AS,SEA,LAX,1050,1205,155,72,155
,AS,PDX,LAX,1060,1200,140,72,140
,AS,LAX,SEA,1060,1225,165,72,165
,AS,ANC,SEA,1080,1339,199,180,199
,AS,SEA,LAX,1090,1252,162,144,162
,AS,LAX,SEA,1120,1285,165,144,165
,AS,SEA,LAX,1135,1300,165,124,165
,AS,SEA,ANC,1135,1301,226,144,226
,AS,LAX,SEA,1145,1310,165,124,165
,AS,LAX,SEA,1175,1340,165,124,165
,AS,LAX,PDX,1180,1322,142,124,142
,AS,SEA,LAX,1195,1345,150,144,150
,AS,SEA,ANC,1195,1358,223,144,223
,AS,PDX,LAX,1240,1376,136,124,136
,AS,SEA,LAX,1255,1404,149,124,149
,AS,SEA,ANC,1255,1419,224,144,224
,AS,LAX,PDX,1290,1434,144,144,144
,AS,SEA,LAX,1295,2,147,124,147
,AS,ANC,SEA,1310,132,202,72,202
,AS,SEA,LAX,1315,22,147,72,147
,AS,LAX,SEA,1315,40,165,72,165
,AS,SEA,PDX,1350,1397,47,72,47
,AS,ANC,LAX,1430,369,319,72,319
,AS,LAX,ANC,1435,278,343,72,343
