,flight,player,segment,capacity,flight_pax,pax_per_iti,depart_time,load_factor
0,AS1,AS,"('ANC', 'LAX')",72,45.14628537184558,"(45.14628537184558,)",[1430],0.627031741275633
1,AS2,AS,"('ANC', 'PDX')",144,55.021042308919974,"(53.364710003728916, 1.6563323051910581)","[720, 720]",0.38209057158972204
2,AS3,AS,"('ANC', 'SEA')",180,38.31455115046465,"(38.31455115046465,)",[360],0.2128586175025814
3,AS4,AS,"('ANC', 'SEA')",144,40.463337655682594,"(39.128436908982636, 1.334900746699959)","[420, 420]",0.2809954003866847
4,AS5,AS,"('ANC', 'SEA')",124,41.370997176843666,"(39.868235772433785, 1.5027614044098798)","[600, 600]",0.33363707400680376
5,AS6,AS,"('ANC', 'SEA')",124,39.161503651642846,"(39.161503651642846,)",[660],0.3158185778358294
6,AS7,AS,"('ANC', 'SEA')",72,42.15789053052276,"(39.13922125577273, 1.6393101994562118, 1.3793590752938132)","[810, 810, 810]",0.5855262573683716
7,AS8,AS,"('ANC', 'SEA')",72,40.53084588114694,"(38.72866852676341, 1.8021773543835298, 0.0)","[1005, 1005, 1005]",0.5629284150159297
8,AS9,AS,"('ANC', 'SEA')",180,40.084960642628225,"(40.084960642628225,)",[1080],0.22269422579237902
9,AS10,AS,"('ANC', 'SEA')",72,39.01043535154134,"(39.01043535154134,)",[1310],0.5418116021047408
10,AS11,AS,"('LAX', 'ANC')",72,43.950110601806735,"(43.950110601806735,)",[1435],0.6104182028028713
11,AS12,AS,"('LAX', 'PDX')",144,135.61096811644177,"(133.99439131548667, 1.616576800955108)","[360, 360]",0.9417428341419567
12,AS13,AS,"('LAX', 'PDX')",144,134.92592496191816,"(134.92592496191816,)",[480],0.9369855900133205
13,AS14,AS,"('LAX', 'PDX')",144,134.16047433355794,"(134.16047433355794,)",[780],0.931669960649708
14,AS15,AS,"('LAX', 'PDX')",72,71.99998859778793,"(71.99998859778793,)",[1010],0.9999998416359435
15,AS16,AS,"('LAX', 'PDX')",124,123.99999110628369,"(123.99999110628369,)",[1180],0.9999999282764813
16,AS17,AS,"('LAX', 'PDX')",144,132.91546372843956,"(132.91546372843956,)",[1290],0.9230240536697192
17,AS18,AS,"('LAX', 'SEA')",72,71.99998595735815,"(71.99998595735815, 0.0)","[360, 360]",0.9999998049633076
18,AS19,AS,"('LAX', 'SEA')",124,123.9999883800316,"(123.9999883800316,)",[450],0.9999999062905773
19,AS20,AS,"('LAX', 'SEA')",124,123.9999808368641,"(122.34290906388992, 1.6570717729741746)","[610, 610]",0.9999998454585814
20,AS21,AS,"('LAX', 'SEA')",144,143.99998160277744,"(142.59045698736205, 1.4095246154154042)","[700, 700]",0.99999987224151
21,AS22,AS,"('LAX', 'SEA')",72,71.99998575173004,"(71.99998575173004,)",[805],0.9999998021073616
22,AS23,AS,"('LAX', 'SEA')",72,71.99998574114912,"(71.99998574114912, 0.0)","[865, 865]",0.9999998019604044
23,AS24,AS,"('LAX', 'SEA')",72,71.9999857295675,"(71.9999857295675, 0.0)","[960, 960]",0.9999998017995486
24,AS25,AS,"('LAX', 'SEA')",72,71.99998590462084,"(71.99998590462084, 0.0)","[1030, 1030]",0.999999804230845
25,AS26,AS,"('LAX', 'SEA')",72,71.99998591767847,"(71.99998591767847,)",[1060],0.999999804412201
26,AS27,AS,"('LAX', 'SEA')",144,143.99998898819544,"(143.99998898819544, 0.0)","[1120, 1120]",0.999999923529135
27,AS28,AS,"('LAX', 'SEA')",124,123.99998833674954,"(123.99998833674954, 0.0)","[1145, 1145]",0.9999999059415285
28,AS29,AS,"('LAX', 'SEA')",124,123.99998834631472,"(123.99998834631472,)",[1175],0.9999999060186672
29,AS30,AS,"('LAX', 'SEA')",72,71.99998602064709,"(71.99998602064709,)",[1315],0.9999998058423206
30,AS31,AS,"('PDX', 'ANC')",124,52.993573610397775,"(51.376996809442666, 1.616576800955108)","[575, 360]",0.4273675291161111
31,AS32,AS,"('PDX', 'LAX')",124,123.99999117708543,"(123.99999117708543,)",[405],0.9999999288474631
32,AS33,AS,"('PDX', 'LAX')",124,123.99999107303718,"(123.99999107303718,)",[585],0.9999999280083643
33,AS34,AS,"('PDX', 'LAX')",144,137.47762328248268,"(137.47762328248268,)",[670],0.9547057172394631
34,AS35,AS,"('PDX', 'LAX')",144,139.62925811594573,"(139.62925811594573,)",[800],0.9696476258051787
35,AS36,AS,"('PDX', 'LAX')",72,71.99998101481795,"(70.34364870962689, 1.6563323051910581)","[1060, 720]",0.999999736316916
36,AS37,AS,"('PDX', 'LAX')",124,123.99999104144388,"(123.99999104144388,)",[1240],0.9999999277535797
37,AS38,AS,"('PDX', 'SEA')",160,159.99998478456865,"(154.10510733434108, 5.89487745022757)","[420, 420]",0.9999999049035541
38,AS39,AS,"('SEA', 'ANC')",72,39.86469718249175,"(39.86469718249175,)",[360],0.5536763497568299
39,AS40,AS,"('SEA', 'ANC')",144,39.04566355081047,"(39.04566355081047,)",[480],0.2711504413250727
40,AS41,AS,"('SEA', 'ANC')",124,39.0064577006907,"(39.0064577006907, 0.0)","[635, 360]",0.3145682072636347
41,AS42,AS,"('SEA', 'ANC')",72,42.24374495606625,"(40.586673183092074, 1.6570717729741746)","[825, 610]",0.5867186799453646
42,AS43,AS,"('SEA', 'ANC')",72,41.785715810303586,"(40.37619119488818, 1.4095246154154042)","[955, 700]",0.5803571640319942
