Dept No,Dept,Arrive No,Arrive,Demand,Nonstop_Miles,avg_price,actualdemand,frequency,travel_time
15,ANC,26,SEA,585.6,1448,279,366,8,210
15,ANC,20,LAX,217.6,2345,221,136,1,325
15,ANC,9,PDX,198.4,1542,271,124,1,215
20,LAX,9,PDX,1521.6,834,182,951,6,150
20,LAX,26,SEA,2740.8,954,193,1713,13,169
20,LAX,15,ANC,222.4,2345,231,139,1,350
9,PDX,20,LAX,1515.2,834,177,947,6,135
9,PDX,26,SEA,608,129,121,380,1,45
9,PDX,15,ANC,196.8,1542,276,123,1,239
26,SEA,20,LAX,2731.2,954,182,1707,13,151
26,SEA,9,PDX,636.8,129,122,398,1,45
26,SEA,15,ANC,609.6,1448,287,381,8,230
