Dept No,Dept,Arrive No,Arrive,actualdemand,Nonstop_Miles,avg_price,Demand,frequency,travel_time
15,ANC,26,SEA,1538,1448,279,1538,8,210
15,ANC,20,LAX,157,2345,221,157,1,325
15,ANC,9,PDX,267,1542,271,267,1,215
20,LAX,9,PDX,1178,834,182,1178,6,150
20,LAX,26,SEA,2206,954,193,2206,13,169
20,LAX,15,ANC,177,2345,231,177,1,350
9,PDX,20,LAX,1188,834,177,1188,6,135
9,PDX,26,SEA,1486,129,121,1486,1,45
9,PDX,15,ANC,261,1542,276,261,1,239
26,SEA,20,LAX,2153,954,182,2153,13,151
26,SEA,9,PDX,1577,129,122,1577,1,45
26,SEA,15,ANC,1669,1448,287,1669,8,230
