FLIGHT_NUMBER,CRS_DEP_TIME,CRS_ARR_TIME,CRS_ELAPSED_TIME,UNIQUE_CARRIER,ORIGIN,DEST,Capacity,price
,45,311,206,DL,ANC,SEA,124,279
,360,416,56,OO,PDX,SEA,180,121
,425,580,155,VX,SEA,LAX,124,182
,430,584,154,DL,PDX,LAX,124,177
,455,600,145,WN,PDX,LAX,124,177
,480,640,160,VX,LAX,SEA,124,193
,520,693,173,DL,LAX,SEA,124,193
,575,727,152,DL,LAX,PDX,124,182
,580,753,173,OO,LAX,SEA,72,193
,600,771,171,DL,LAX,SEA,124,193
,630,780,150,WN,LAX,PDX,124,182
,665,724,59,OO,SEA,PDX,72,122
,680,830,150,VX,SEA,LAX,124,182
,753,920,167,DL,SEA,LAX,124,182
,762,900,138,DL,PDX,LAX,124,177
,770,940,170,DL,LAX,SEA,124,193
,775,831,56,OO,PDX,SEA,72,121
,788,950,162,OO,SEA,LAX,72,182
,875,1030,155,VX,LAX,SEA,124,193
,885,1046,161,DL,SEA,LAX,124,182
,891,1154,203,DL,ANC,SEA,124,279
,900,1057,217,DL,SEA,ANC,124,287
,900,1040,140,WN,PDX,LAX,124,177
,1002,1163,161,DL,SEA,LAX,124,182
,1070,1225,155,VX,SEA,LAX,124,182
,1100,1153,53,OO,SEA,PDX,72,122
,1130,1290,160,VX,LAX,SEA,124,193
,1175,1320,145,WN,LAX,PDX,124,182
,1199,1257,58,OO,PDX,SEA,72,121
,1200,1357,217,DL,SEA,ANC,124,287
,1235,1386,151,DL,LAX,PDX,124,182
,1315,1374,59,OO,SEA,PDX,72,122
,1430,369,319,OO,ANC,LAX,72,221
,1360,91,235,OO,PDX,ANC,72,276
,720,990,210,OO,ANC,PDX,72,271
,1420,250,343,OO,LAX,ANC,72,231
