FLIGHT_NUMBER,CRS_DEP_TIME,CRS_ARR_TIME,CRS_ELAPSED_TIME,UNIQUE_CARRIER,ORIGIN,DEST,Capacity,price,travel_time
,45,511,466,DL,ANC,SEA,124,279,206
,600,656,56,OO,PDX,SEA,72,121,56
,705,940,235,VX,SEA,LAX,124,182,155
,710,944,234,DL,PDX,LAX,124,177,154
,735,1000,265,WN,PDX,LAX,124,177,145
,800,1040,240,VX,LAX,SEA,124,193,160
,840,1133,293,DL,LAX,SEA,124,193,173
,935,1207,272,DL,LAX,PDX,124,182,152
,940,1233,293,OO,LAX,SEA,72,193,173
,1000,1251,251,DL,LAX,SEA,124,193,171
,1030,1300,270,WN,LAX,PDX,124,182,150
,1105,1204,99,OO,SEA,PDX,72,122,59
,1120,1350,230,VX,SEA,LAX,124,182,150
,1233,1520,287,DL,SEA,LAX,124,182,167
,1242,1500,258,DL,PDX,LAX,124,177,138
,1250,1540,290,DL,LAX,SEA,124,193,170
,1255,1351,96,OO,PDX,SEA,72,121,56
,1308,1550,242,OO,SEA,LAX,72,182,162
,1435,1710,275,VX,LAX,SEA,124,193,155
,1445,1726,281,DL,SEA,LAX,124,182,161
,1451,1914,463,DL,ANC,SEA,124,279,203
,1500,1737,237,DL,SEA,ANC,124,287,217
,1500,1720,220,WN,PDX,LAX,124,177,140
,1642,1923,281,DL,SEA,LAX,124,182,161
,1750,2025,275,VX,SEA,LAX,124,182,155
,1820,1913,93,OO,SEA,PDX,72,122,53
,1850,2130,280,VX,LAX,SEA,124,193,160
,1935,2200,265,WN,LAX,PDX,124,182,145
,1959,2057,98,OO,PDX,SEA,72,121,58
,2000,2237,237,DL,SEA,ANC,124,287,217
,2035,2306,271,DL,LAX,PDX,124,182,151
,2155,2254,99,OO,SEA,PDX,72,122,59
