FLIGHT_NUMBER,CRS_DEP_TIME,CRS_ARR_TIME,CRS_ELAPSED_TIME,UNIQUE_CARRIER,ORIGIN,DEST,Capacity,price,travel_time
,45,511,206,DL,ANC,SEA,124,279,206
,600,656,56,OO,PDX,SEA,72,121,56
,705,940,155,VX,SEA,LAX,124,182,155
,710,944,154,DL,PDX,LAX,124,177,154
,735,1000,145,WN,PDX,LAX,124,177,145
,800,1040,160,VX,LAX,SEA,124,193,160
,840,1133,173,DL,LAX,SEA,124,193,173
,935,1207,152,DL,LAX,PDX,124,182,152
,940,1233,173,OO,LAX,SEA,72,193,173
,1000,1251,171,DL,LAX,SEA,124,193,171
,1030,1300,150,WN,LAX,PDX,124,182,150
,1105,1204,59,OO,SEA,PDX,72,122,59
,1120,1350,150,VX,SEA,LAX,124,182,150
,1233,1520,167,DL,SEA,LAX,124,182,167
,1242,1500,138,DL,PDX,LAX,124,177,138
,1250,1540,170,DL,LAX,SEA,124,193,170
,1255,1351,56,OO,PDX,SEA,72,121,56
,1308,1550,162,OO,SEA,LAX,72,182,162
,1435,1710,155,VX,LAX,SEA,124,193,155
,1445,1726,161,DL,SEA,LAX,124,182,161
,1451,1914,203,DL,ANC,SEA,124,279,203
,1500,1737,217,DL,SEA,ANC,124,287,217
,1500,1720,140,WN,PDX,LAX,124,177,140
,1642,1923,161,DL,SEA,LAX,124,182,161
,1750,2025,155,VX,SEA,LAX,124,182,155
,1820,1913,53,OO,SEA,PDX,72,122,53
,1850,2130,160,VX,LAX,SEA,124,193,160
,1935,2200,145,WN,LAX,PDX,124,182,145
,1959,2057,58,OO,PDX,SEA,72,121,58
,2000,2237,217,DL,SEA,ANC,124,287,217
,2035,2306,151,DL,LAX,PDX,124,182,151
,2155,2254,59,OO,SEA,PDX,72,122,59
,540,640,100,OO,ANC,LAX,72,122,
,640,740,100,OO,PDX,ANC,72,122,
,840,940,100,OO,ANC,PDX,72,122,
,940,1040,100,OO,LAX,ANC,72,122,
